id,row,grade,topic,question,raw_answer,status,ratio,text
tigqa-002-01,2,4ይ,ግደወለዲኣብገዛ ነባሪኣየር,ኣብ ገዛ ደቆም ናይ ምሕጋዝ ሓላፍነት ናይ መን እዩ?,ናይ ወለዲ,unmatched,0.4,
tigqa-002-05,2,4ይ,ግደወለዲኣብገዛ ነባሪኣየር,ድልየት ንባብ ንኽለዓዓል ዝሕግዝ እንታይ እዩ?,ዛንታታት ምንባብ,unmatched,0.556,
tigqa-003-02,3,4ይ,ምክልኻልብኽለትከባቢኣየር,ብኽለት ከባቢ ኣየር ብምንታይ ንከላኸል?,ተኽልታት ብምትካል,unmatched,0.7,
tigqa-003-06,3,4ይ,ምክልኻልብኽለትከባቢኣየር,ተኽልታት ምግቢ እንተዳልዉ ካብ ከባቢ ኣየር እንታይ ይወስዱ?,ካርዶንዳይኦክሳይድ,fuzzy,0.727,ን ዳይ ኦክሳይድ
tigqa-003-10,3,4ይ,ምክልኻልብኽለትከባቢኣየር,ተኽልታት ምትካል እንታይ ይሕግዝ?,ካብ ብኽለት ነፃ ዝኾነ ከባቢኣየር,unmatched,0.471,
tigqa-003-11,3,4ይ,ምክልኻልብኽለትከባቢኣየር,ብኽለት ከባቢ ኣየር ብምንታይ ምቕናስ ይከኣል?,ንመካይንንምስራሕእንጥቀመሉመጠንነዳዲብምንካይ,fuzzy,0.852,ን ንምስራሕ እንጥቀመሉ መጠን ነዳዲ ብምንካይ
tigqa-003-16,3,4ይ,ምክልኻልብኽለትከባቢኣየር,ምጥቃም ኣማራፂ ሓይልታት እንታይ ይሕግዝ?,ብኽለት ከባቢ ኣየር ንምክልኻል,unmatched,0.625,
tigqa-003-18,3,4ይ,ምክልኻልብኽለትከባቢኣየር,ካብ ሓይሊ ማይ፣ ንፋስን ፀሓይን እንታይ ይርከብ?,ሓይሊ ኤሌክትሪክ,unmatched,0.444,
tigqa-003-19,3,4ይ,ምክልኻልብኽለትከባቢኣየር,ዓበይቲ ኢንዱስተሪታት ካብ ሓይሊ ማይ እንታይ ይረኽባ?,ሓይሊ ኤሌክትሪክ,unmatched,0.444,
tigqa-003-20,3,4ይ,ምክልኻልብኽለትከባቢኣየር,ጎዳእቲ ጋዛት ካብ እንታይ ይወፁ?,ካብ ኢንዳስትሪታት,unmatched,0.5,
tigqa-004-01,4,,ክንክንሃፍቲተፈጥሮ,ሰባት ዕለታዊ መነባብርኦም ንኽመርሑ ዘኽእሉዎም ወሰንቲ ፀጋታት እንታይይ እዮም?,ሃፍትታት ተፈጥሮ,unmatched,0.667,
tigqa-004-04,4,,ክንክንሃፍቲተፈጥሮ,ኣገደስቲ ሃፍቲታት ተፈጥሮ እንታይ እንታይ እዮም?,ዕፅዋት ሓመድን ማይን,unmatched,0.636,
tigqa-004-09,4,,ክንክንሃፍቲተፈጥሮ,ብርሰት ሃፍቲ ኣግራብ ንምክልኻል፣ ኣብ ምግቢንምብሳል እንታይ ኣማራፂ ንጥቀም?,ሓይሊ ኤሌክትሪክ,unmatched,0.444,
tigqa-004-12,4,,ክንክንሃፍቲተፈጥሮ,ዕፅዋት ብሰራውሮም ነቲ ሓመድ ብምሕቛፍ እንታይ የስዕቡ?,ሓመድ ተጓሕጒሑ ንከይኸይድ,unmatched,0.214,
tigqa-004-13,4,,ክንክንሃፍቲተፈጥሮ,ተፈጥሮኣዊ ድኹዒ ዝኾኑ እንታይን እንታይን እዮም?,ዝረገፉ ኣቑፅልቲን ጨናፍርን እንትብስብሱ,unmatched,0.682,
tigqa-004-18,4,,ክንክንሃፍቲተፈጥሮ,ኣብ ዓይነ ምድሪ ዝእከብ ፈሳሲ ጓሓፍ ናብ እንታይ ካብ ምፍሳስ ምዕቃብ የድልይ?,ማያዊ ኣካላት,unmatched,0.714,
tigqa-005-01,5,,ባህላዊመጓዓዝያ,ባህላዊ መጓዓዝያ እንታይ ዓይነት ሜላመራኸቢእዩ?,ሰባት ካብ ቦታ ናብ ቦታ ዝጓዓዝሉ,unmatched,0.688,
tigqa-005-05,5,,ባህላዊመጓዓዝያ,ባህላዊመጓዓዝያታት ብዙሕ ንብረት ኣብ ርእሲ ዘይምሽካሞም እንታይ ሽግር ኣለዎም?,ቀልጢፎም ይደኽሙ,unmatched,0.556,
tigqa-006-03,6,,ዘበናዊመጓዓዝያ,ዘበናዊ መጓዓዝያታትካብባህላዊመጓዓዝያ ብምንታይ ይፍለዩ?,ብምቕልጣፍን ብዙሕ ኣቑሑት ዝሽከሙን ምዃኖም,unmatched,0.261,
tigqa-006-16,6,,ዘበናዊመጓዓዝያ,መጓዓዝያኣየር ብምንተይ ዝግበር ጉዕዞ እዩ?,ብኣውሮፕላንንብሄሊኮፕተርን,unmatched,0.438,
tigqa-006-17,6,,ዘበናዊመጓዓዝያ,ካብኩሎምዓይነታትመጓዓዝያዝቀልጠፉ ኣየኖትእዮም?,ኣውሮፕላንንብሄሊኮፕተርን,unmatched,0.467,
tigqa-007-04,7,,ሓደጋትራፊክ,ንሕቶ ኮማንደር ጀማል መን መልሲ ሃበ?,ተመሃራይ,unmatched,0.6,
tigqa-007-06,7,,ሓደጋትራፊክ,ኣብ ክልልና ብሰንኪ ሓደጋ ትራፊክ ዘጋጠመ ዕንወት ክሳብ ክንደየናይ እዩ?,ተመሃሪት,unmatched,0.6,
tigqa-007-12,7,,ሓደጋትራፊክ,እታ ተምሃሪት እንታይ ኢላ ሓተተት?,ዘወርቲ ንኣጋራት ዝፈጥሩዎጌጋእዩ,unmatched,0.5,
