Text,Label
የፖስታ ሳጥን ቁጥር፡-___________________________________________________,1
8) ምን ያህል መነሻ ገንዘብ እንደሚያስፈልገውና እንዴት ሊገኝ እንደታሰበ (ግማሽ ገፅ),1
 ትኩረት የተሰጠባቸው የውድድር ምድቦች አንዱን ይምረጡ,1
ለግል አመልካቶች ቅድሚያ መሙዋላት ያለባቸው ጉዳዮች፡,1
ስላለፈው ጊዜ ክርክር ማንሳት ይቅርብንና ከዚህ ሁሉ ልምድ በኋላ ዛሬም መነጠልን የሚያራምዱ ቡድኖች፣ የሕዝብ ፍላጎትን እያንፀባረቁ ይሆን የሚል ጥያቄ እናንሳ፡፡ ከኤርትራ ኅብረተሰብ ውስጥ ራሳቸውን በኢትዮጵያዊነት የሚመድቡ ክፍሎች መኖራቸውን እንተወውና፣ እዚህ ክፍፍል ውስጥ ሳይገባ የኤርትራ ሕዝብ ከኢትዮጵያ ሕዝብ ጋር የሁለቱም አገሮች ጥቅም በአግባቡ በተከበረበት አኳኋን በኢኮኖሚ መተሳሰርም ሆነ በኮንፌዴሬሽን መያያዝ ይፈልጋል ወይስ እንደ አሁኑ ተገልሎ መቆየት? አፈና በሌለበት ሁኔታ ዛሬ የኤርትራ ሕዝብ አማራጮች ቢቀርቡለት፣ እነ ኢሳያስ ሙጥኝ ያሉትን ተገልሎ መቆየት እንደማይመርጥ መቶ በመቶ የጠቆሙ ምልክቶች አሉ፡፡ የኢትዮጵያ መቆራረስ ጥቅሜ ነው የሚል ሰፊ ሕዝብ በየትኛውም የኢትዮጵያ ጥግ እንደሌለ፣ የሰሜን ጦር ላይ ጥቃት በተከፈተበትና ለኢትዮጵያ ህልውና ተጋድሎ በተካሄደበት ጊዜ ወለል ብሎ ታይቷል፡፡ ያኔ እንደ ኦነግ ሸኔ ያሉት ግፍ ደጋሾችና የመነጠል ደቀ መዝሙሮች የተሠለፉት ከሕወሓት ጦረኞች ጋር ነበር፡፡,1
TOPIC 3.1: EDUCATION TV SCHEDULE,1
 ድርጅቱ ሁሉንም ተገቢ የመንግስት ግብር የከፈለ መሆን አለበት፡፡,1
ክፍት የስራ ቦታ ማስታወቂያ,1
 ለገጠሩ ማህበረሰብ የኢነርጂ/የሃይል አጠቃቀም ውጤታማነት የሽልማት ዘርፍ,1
የሕወሓት ጦረኞች ሰሜን ጦር ላይ ጥቃት በመፈጸም ከከፈቱት ጦርነት አንስቶ በሦስት ዙር ባካሄዷቸው ወረራዎች ማገዶ የሆነው የትግራይ ወጣት የሕወሓትን ዓላማ በውዴታው ዓላማው አድርጎት ነበር ወይስ በጥርነፋና በሐሰተኛ ውስወሳ ተይዞ? ለሚለው እንቆቅልሽ አሁን ፍቺ እየተገኘለት ነው፡፡ የሕዝብ ደም እንደ ጎርፍ ከፈሰሰበት ከዚያ ሁሉ ልምድ በኋላ፣ ዛሬም መነጠልን ያጠበቁ የሕወሓት አንጃዎች አሉ፡፡ አዛውንቱ ግትር ሕወሓቶች የመነጠልን አጀንዳ ካወረሷቸው ልጆቻቸው መሀል፣ ‹‹ሳልሳዊ ወያነ›› የተባለው ቡድን የሕዝብ ግንኙነት ሰው  ሲናገር እንደተሰማው ከሆነማ፣ መነጠልን ያነገቡት ኢትዮጵያ በደለችን ከሚል መንደርደሪያ አኳያ ብቻ ሳይሆን መነጠልን በራሱነቱ ይሹታል (‹አስፓየር› ያደርጉታል)፡፡ ከኢትዮጵያ ኦርቶዶክስ መንበር ተነጠልኩ ባለችው የትግራይ ኦርቶዶክስ ቤተ ክርስቲያንም ውስጥ የመነጠል አጀንዳ አድብቶ እንዲቆይ ተደርጓል፡፡ ዛሬ በተራው የትግራይ ሕዝብና ወጣት ዘንድ ያለው ዝንባሌ የሚነግረን ግን ከሕወሓትና ከሕወሓታዊዋን ውጪ የሆኑ የፖለቲካ ቡድኖች ያለ አፈናና ሥጋት የሚንቀሳቀሱበት ሁኔታ ከተፈጠረ፣ በኢትዮጵያ ማዕቀፍ ውስጥ በሰላም ከመልማት በቀር ከመነጠል ዓላማ ጋር መንገታገትን ለጆሮው እንኳ መስማት የማይሻው በገፍ እንደሆነ ነው፡፡ ከዚህ ቀደም ሕወሓታዊዋን ከአገር ውስጥ እስከ ባህር ማዶ ድረስ አፍ ተልብ ሆነው ‹‹ጦርነቱን የጀመረው የዓብይ መንግሥት ነው!…፣ የኢትዮጵያ መንግሥት ጦርነት የከፈተብህ እንደ ሕዝብ ከምድረ ገጽ ሊያጠፋህ ነው!›› የሚል ውሸትን እውነት አስመስለው ሕዝብን እንዳላደናገሩ ሁሉ፣ ዛሬ ፍርክስክሳቸው ወጥቶ የገነቡትን የውሸት ካብ በእርስ በርስ መጋፈፍ እየናዱ ነው፡፡  በተለይ ፀፀት የማይነካካው የቆሞ ቀሩ ክንፍ ወካዮች፣ እስከ ወገባቸው በተቀበሩበት ሁኔታ ‹‹መንገድ አሳልፈኝ›› እስከ ማለት ያሉበት እውነታ ጠፍቷቸው መሳለቂያነታቸው ልክ አጥቷል፡፡  ለጦረኞቹ ምርኮ ቀረሽ፣ ለመላው ሕዝብ ግን ሰላም አምጪ የሆነውን የፕሪቶሪያ ስምምነት፣ የኢትዮጵያ መንግሥት ሰዎች እንደምናፈርሳቸው ፈርተው ነው የፈረሙት ብሎ እስከ መቀላመድ ድረስ ውሸታቸው መጃጀቱን የትግራይ ሕዝብ ለማየት በቅቷል፡፡ ከአሮጌው የሕወሓት መስመር የተቃረኑ የትግራይ ሕዝብ ትንፋሾችን፣ ‹‹በገንዘብ ጉርሻ የተገዙ›› አድርገው ቆሞ ቀሮቹ ማጠልሸታቸውም ብልጠት አልነበረም፡፡ ሕወሓቶች ጥርስ የነቀሉበትን ስምና ተግባር የማጠልሸት ንክሻቸውን የትግራይ ተራ ሕዝብ በማይወናበድበት መልክ እንዲቀምሰው ነበር የረዱት፡፡ ዛሬ የትግራይ ሕዝብ ነፍስ ከማዳን ትግል ባልራቀ ኑሮ ውስጥ እየተዳፋ ሳለ፣ ‹‹ሕወሓትን ማዳን የትግራይን ሕዝብ ማዳን ነው›› የሚሉት ሥልጣን አምላኪዎች፣ ሽሬ ምድር ውስጥ ምን እየማሱ እንደሆነ ሕዝብ ጉድ እያለ ታዝቧል፡፡ ያኔ በጦርነቱ ጊዜ የኤርትራ ኃይል ሠራ ስለሚባለው ግፍ ሲቀልጥ የነበረው ኡኡታ ወደ ጀርባ ተሸሽጎ፣ የዛሬው የወርቅ ዘረፋ ንግድ ከእነማን ጋር ሰንሰለት እንዳበጀ ለሕዝብ ጆሮ ሥውር አይደለም፡፡ በአጭሩ ለተሻለ ሕይወት ልጆቹን ሲገብር የኖረው የትግራይ ሕዝብ ምን ያህል በስሙ እንደ ተነገደበት የተጣበቀ አንጀቱን ደግፎ እያስተዋለ ነው፡፡,1
